"state_usa","estimate","avg_price","min_price","max_price"
"Alabama","4903185","1797.50","1200.00","2500.00"
"Alaska","731545","2684.00","2000.00","3500.00"
"Arizona","7278717","2356.75","1500.00","4000.00"
"Arkansas","3017804","1499.25","1000.00","2500.00"
"California","39512223","5832.50","3500.00","9000.00"
"Colorado","5758736","2987.25","2000.00","4500.00"
"Connecticut","3565287","3837.00","3000.00","5500.00"
"Delaware","973764","2289.75","1500.00","3500.00"
"Florida","21477737","2763.50","1500.00","5000.00"
"Georgia","10617423","2065.00","1200.00","3500.00"
"Hawaii","1415872","5975.50","4500.00","7500.00"
"Idaho","1787065","1382.00","800.00","2500.00"
"Illinois","12671821","2056.50","1200.00","3500.00"
"Indiana","6732219","1704.75","1000.00","3000.00"
"Iowa","3155070","1442.25","1000.00","2000.00"
"Kansas","2913314","1479.50","1000.00","2500.00"
"Kentucky","4467673","1605.00","1000.00","3000.00"
"Louisiana","4648794","1718.50","1000.00","3000.00"
"Maine","1344212","2236.00","1500.00","3500.00"
"Maryland","6045680","3122.75","2000.00","5000.00"
"Massachusetts","6892503","4136.50","3000.00","6000.00"
"Michigan","9986857","1812.75","1000.00","3500.00"
"Minnesota","5639632","2195.50","1500.00","4000.00"
"Mississippi","2976149","1499.25","1000.00","2500.00"
"Missouri","6137428","1677.75","1000.00","1000.00"
"Montana","1068778","1705.00","1000.00","3000.00"
"Nebraska","1934408","1459.25","1000.00","2500.00"
"Nevada","3080156","2503.00","1500.00","5000.00"
"New Hampshire","1359711","3122.75","2000.00","5000.00"
"New Jersey","8882190","4672.25","3500.00","7500.00"
"New Mexico","2096829","1499.25","1000.00","2500.00"
"New York","19453561","4968.75","3500.00","30000"
"North Carolina","10488084","2056.50","1200.00","3500.00"
"North Dakota","762062","1505.50","1000.00","2500.00"
"Ohio","11689100","1797.50","1200.00","2500.00"
"Oklahoma","3956971","1499.25","1000.00","2500.00"
"Oregon","4217737","2684.00","2000.00","3500.00"
"Pennsylvania","12801989","2056.50","1200.00","3500.00"
"Rhode Island","1059361","3458.25","2500.00","5000.00"
"South Carolina","5148714","1912.50","1200.00","3500.00"
"South Dakota","884659","1442.25","1000.00","2000.00"
"Tennessee","6829174","1812.75","1000.00","3500.00"
"Texas","28995881","2356.75","1500.00","4000.00"
"Utah","3205958","2236.00","1500.00","3500.00"
"Vermont","623989","2356.75","1500.00","4000.00"
"Virginia","8535519","2503.00","1500.00","5000.00"
"Washington","7614893","3458.25","2500.00","5000.00"
"West Virginia","1792147","1442.25","1000.00","2000.00"
"Wisconsin","5822434","1968.25","1200.00","3500.00"
"Wyoming","578759","1968.25","1200.00","3500.00"
"District of Columbia","705749",NULL,NULL,NULL
