"state_usa","estimate_population","avg_price","min_price","max_price","population_percentage","avg_price_percentage"
"California","39512223","5832.50","3500.00","9000.00","12.04","4.84"
"Texas","28995881","2356.75","1500.00","4000.00","8.83","1.95"
"Florida","21477737","2763.50","1500.00","5000.00","6.54","2.29"
"New York","19453561","4968.75","3500.00","30000","5.93","4.12"
"Pennsylvania","12801989","2056.50","1200.00","3500.00","3.90","1.71"
"Illinois","12671821","2056.50","1200.00","3500.00","3.86","1.71"
"Ohio","11689100","1797.50","1200.00","2500.00","3.56","1.49"
"Georgia","10617423","2065.00","1200.00","3500.00","3.23","1.71"
"North Carolina","10488084","2056.50","1200.00","3500.00","3.20","1.71"
"Michigan","9986857","1812.75","1000.00","3500.00","3.04","1.50"
